행정시,해변명,백사장 면적(㎡),백사장 길이(m),화장실(동),샤워장,식수대,주차장(대),2014년,2015년,2016년,2017년
제주시,이호테우,42250,650,2,2,2,650,334100,526000,625300,438700
제주시,삼양,6000,200,2,1,1,120,140975,166880,207510,244650
제주시,협재,40000,400,1,1,2,120,218150,646500,969440,641880
제주시,금능,30000,300,1,1,2,100,76040,136250,233000,301800
제주시,곽지,52500,350,3,1,3,287,120690,202000,257250,257200
제주시,김녕,25000,250,3,1,3,256,43235,69800,83500,47271
제주시,함덕,234000,900,4,2,3,800,415530,643940,992200,417420
서귀포시,중문색달,28000,560,3,1,1,152,392728,340800,391050,260720
서귀포시,신양섭지,97500,650,1,1,2,40,13650,15520,11610,5108
서귀포시,표선,160000,800,2,1,2,70,95542,112200,158700,105070
서귀포시,화순금모래,25000,250,2,2,2,115,57950,75300,79270,68490
